Title,Authors,Session,Abstract,PDF,Paper Page
Automated Catheter Tip Repositioning for Intra-cardiac Echocardiography,Young-Ho Kim;Jarrod Collins;Zhongyu Li;Ponraj Chinnadurai;Ankur Kapoor;Chun Lin;Tommaso Mansi,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Robotic System with Programmable Motion Constraint for Transurethral Resection,ZHEN SUN;Tianmiao Wang;Chunheng Lu;Yu Shen;Junchen Wang,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Learning Surgical Tasks with Context-based RL: the pick-and-place skill,Claudia D'Ettorre;Silvia Zirino;Neri Niccolò Dei;Agostino Stilli;Elena De Momi;Danail Stoyanov,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Transfer of Learned Dynamics for Robust Compensation of Variable Surgical Robotic Setups,Nural Yilmaz;Jintan Zhang;Peter Kazanzides;Ugur Tumerdem,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
"AutoInFocus, a new paradigm for ultrasound-guided spine intervention: a multi-platform validation study",Keshuai Xu;Baichuan Jiang;Abhay Moghekar;Peter Kazanzides;Emad Boctor,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
The Impact of Visualization Paradigms on the Detectability of Spatial Misalignment in Mixed Reality Surgical Guidance,Wenhao Gu;Alejandro Martin-Gomez;Sue Min Cho;Greg Osgood;Bert Bracke;Chad Josewski;Jonathan Knopf;Mathias Unberath,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Registration of trans-perineal template mapping biopsy cores to volumetric ultrasound,Tajwar A Aleef;Qi Zeng;William James Morris;Sara Mahdavi;Septimiu Salcudean,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Automatic Preoperative 3D Model Deformable Registration in Laparoscopic Liver Resection,Mathieu Labrunie;Mathieu Ribeiro;Farouk Mourthadhoi;Christophe Tilmant;Bertrand Le Roy;Emmanuel Buc;Adrien Bartoli,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Augmented reality navigation for minimally invasive craniosynostosis: a phantom study,Abdullah A. Thabit;Mohamed Benmahdjoub;Marie-Lise van Veelen;Wiro Niessen;Eppo Wolvius;Theo van Walsum,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Robust hand tracking for surgical telestration,Lucas-Raphael Müller (German Cancer Research Center (DKFZ));Jens Petersen (German Cancer Research Center (DKFZ));Amine Yamlahi (German Cancer Research Center (DKFZ));Philipp Anthony Wise;Tim Adler (German Cancer Research Center (DKFZ));Alexander Seitel (German Cancer Research Center (DKFZ));Karl-Friedrich Kowalewski;Beat Müller-Stich;Hannes Kenngott;Felix Nickel;Lena Maier-Hein (German Cancer Research Center (DKFZ)),Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Generation of synthetic training data for SEEG electrodes segmentation,Anja Pantovic;Xiaoxi Ren;Cédric Wemmert;Irène Ollivier;Caroline Essert,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Capturing Contact in Mitral Valve Dynamic Closure with Fluid-Structure Interaction Simulation,Nariman Khaledian;Pierre-Frederic Villard;Marie-Odile Berger,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Development and validation of a FEM to investigate the effect of the electrode orientation on irreversible electroporation,Girindra Wardhana;Nivedha Raman;Momen Abayazid;Jurgen Futterer,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
A Comparative Study on Computational Models of Multi-needle Radiofrequency Ablation of Large Liver Tumor,Chloé Audigier;Teodora Mohaiu;Amilcar Alzaga;Reto Bale;Tommaso Mansi,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Biomechanics-Informed Deep Learning for Facial Tissue Deformation Modeling in Orthognathic Surgical Planning,Nathan Lampen;Daeseung Kim;Xi Fang;Xuanang Xu;Tianshu Kuang;Han Deng;Joshua C. Barber;Jaime Gateno;James J. Xia;Pingkun Yan,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Deep Learning-based Plane Pose Regression in Obstetric Ultrasound,Chiara Di Vece;Brian Dromey;Francisco Vasconcelos;Anna L. David;Donald Peebles;Danail Stoyanov,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Increasing Diagnostic Yield of Prostate Cancer During Ultrasound Guided Biopsy in the Presence of Label Noise,Minh Nguyen Nhat To;Fahimeh Fooladgar;Golara Javadi;Samareh Samadi;Sharareh Bayat;Samira Sojoudi;Walid Eshumani;Antonio Hurtado-coll;Silvia Chang;Peter Black;Parvin Mousavi;Purang Abolmaesumi,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Can Uncertainty Estimation Predict Segmentation Performance in Ultrasound Bone Imaging?,Prashant U Pandey;Pierre Guy;Antony J Hodgson,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Deep Hashing for Global Registration of Untracked 2D Laparoscopic Ultrasound to CT,João Ramalhinho;Bongjin Koo;Nina Montaña Brown;Shaheer Ullah Saeed;Ester Bonmati;Kurinchi Gurusamy;Stephen Pereira;Brian Davidson;Yipeng Hu;Matthew J Clarkson,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
Data-centric multi-task surgical phase estimation with sparse scene segmentation,Ricardo Sanchez-Matilla;Maria Robu;Maria Grammatikopoulou;Imanol Luengo;Danail Stoyanov,Long Program Schedule,,,https://sites.google.com/view/ipcai2022/program
