Title,Authors,Session,Abstract,PDF,Paper Page
SHADeS: Self-supervised Monocular Depth Estimation Through Non-Lambertian Image Decomposition,Rema Daher;Francisco Vasconcelos;Danail Stoyanov,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
A Deep Learning Based Approach to Automated Rib Fracture Detection and CWIS Classification,Victoria Marting;Noor Borren;Max van Diepen;Esther van Lieshout;Mathieu Wijffels;Theo van Walsum,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Catheter Detection and Segmentation in X-ray Images via Multi-task Learning,Lin Xi;YingLiang Ma;Ethan Koland;Sandra Howell;Aldo Rinaldi;Kawal Rhode,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Automatic Calibration of a Multi-Camera System with Limited Overlapping Fields of View for 3D Surgical Scene Reconstruction,Tim Flückiger;Jonas Hein;Valery Fischer;Philipp Fürnstahl;Lilian Calvet,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Reinforcement Learning for Safe Autonomous Two Device Navigation of Cerebral Vessels in Mechanical Thrombectomy,Harry Robertshaw;Benjamin Jackson;Hadi Sadati;Jiaheng Wang;Lennart Karstensen;Alejandro Granados;Thomas Booth,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Benchmarking Reinforcement Learning Algorithms for Autonomous Mechanical Thrombectomy,Farhana Moosa;Harry Robertshaw;Lennart Karstensen;Thomas Booth;Alejandro Granados,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
KEVS: Enhancing Segmentation of Visceral Adipose Tissue in Pre-Cystectomy CT with Gaussian Kernel Density Estimation,Thomas Boucher;Nicholas Tetlow;Annie Fung;Pietro Arina;Amy Dewar;Sven Kerneis;John Whittle;Evangelos Mazomenos,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
An augmented reality overlay for navigated prostatectomy using fiducial-free 2D-3D registration,Johannes Bender;Jeremy Kwe;Benedikt Hoeh;Katharina Boehm;Ivan Platzek;Angelika Borkowetz;Stefanie Speidel;Micha Pfeiffer,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Few-shot Text-driven Adaptation of Foundation Models for Surgical Workflow Analysis,Tingxuan Chen;Kun Yuan;Vinkle Srivastav;Nassir Navab;Nicolas Padoy,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
Uncertainty Estimation for Trust Attribution to Speed of Sound Reconstruction with Variational Networks,Sonia Laguna;Lin Zhang;Can Deniz Bezek;Monika Farkas;Dieter Schweizer;Rahel A. Kubik-Huch;Orcun Goksel,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2025/program
