Title,Authors,Session,Abstract,PDF,Paper Page
FF-ViT: Probe Orientation Refinement for Robot-assisted Endomicroscopy Tissue Scanning,"Xu, Chi;Roddan, Alfie G;Xu, Haozheng;Giannarou, Stamatia",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Near-Real-Time Mueller Polarimetric Image Processing for Neurosurgical Intervention,"Moriconi, Stefano;Rodriguez-Nunez, Omar;Gros, Romain;Felger, Leonard A.;Maragkou, Theoni;Hewer, Ekkehard;Pierangelo, Angelo;Novikova, Tatiana;Schucht, Philippe;McKinley, Richard",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Shape Completion in the Dark: Completing Vertebrae Morphology from 3D Ultrasound,"Gafencu, Miruna-Alexandra;Azampour, Mohammad Farid;Velikova, Yordanka;Saleh, Mahdi;Ungi, Tamas;Wendler, Thomas;Navab, Nassir",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
On-the-Fly Point Annotation for Fast Medical Video Labeling,"MEYER, Adrien;Mazellier, Jean-Paul;DANA, Jérémy;Padoy, Nicolas",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Depth Over RGB: Automatic Evaluation of Open Surgery Skills Using Depth Camera,"Zuckerman, Ido;Werner, Nicole;Kouchly, Jonathan;Huston, Emma;DiMarco, Shannon;DiMusto, Paul;Laufer, Shlomi",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Surgical-DINO: Adapter Learning of Foundation Model for Depth Estimation in Endoscopic Surgery,"Cui, Beilei;Islam, Mobarakol;Bai, Long;Ren, Hongliang",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Ultrasound Segmentation Analysis via Distinct and Completed Anatomical Borders,"GONZALEZ DUQUE, VANESSA;Marquardt, Alexandra;Velikova, Yordanka;Lacourpaille, Lilian;Nordez, Antoine;Crouzier, Marion;Lee, Hong Joo;Mateus, Diana;Navab, Nassir",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Synchronising a Stereoscopic Surgical Video Stream using Specular Reflection,"CHANDELON, Kilian;Bartoli, Adrien",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Stand in Surgeon’s Shoes: Virtual Reality Cross-training to Enhance Teamwork in Surgery,"Killeen, Benjamin;Zhang, Han;Wang, William J;Rosen, Michael;Kleinbeck, Constantin;Taylor, Russ;Osgood, Greg;Unberath, Mathias",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
A parameter-efficient framework for surgical action triplet recognition,"Li, Yuchong;bai, bizhe;Jia, Fucang",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Flow Diverters Treatment Planning of Small- and Medium-sized Intracranial Saccular Aneurysms on the Internal Carotid Artery via Constraint-based Virtual Deployment,"Liu, ZH;Zhang, Meng;Wang, Chao;Wang, Zhongxiao;Liao, Xiangyun;Ou, Chubin;Si, Weixin",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Vision-based Shape Sensing of Pneumatically Attachable Flexible Rails for Autonomous Control of an Ultrasound Probe for Intra-Operative Ultrasonography,"McDonald-Bowyer, Aoife;Syer, Tom;Retter, Adam;Stoyanov, Danail;Stilli, Agostino",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Multi-modal MRI Segmentation of Key Structures for Microvascular Decompression via Knowledge-Driven Mutual Distillation and Topological Constraints,"Tu, renzhe;Zhang, Doudou;Li, Caizi;Xiao, Linxia;Zhang, Yong;Cai, Xiaodong;Si, Weixin",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
AIxSuture: Vision-Based Assessment of Open Suturing Skills,"Hoffmann, Hanna;Funke, Isabel;Peters, Philipp;Venkatesh, Danush Kumar;Egger, Jan;Rivoir, Dominik;Röhrig, Rainer;Hölzle, Frank;Bodenstedt, Sebastian;Willemer, Marie-Christin;Speidel, Stefanie;Puladi, Behrus",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Exploring Semantic Consistency in Unpaired Image Translation to Generate Data for Surgical Applications,"Venkatesh, Danush Kumar;Rivoir, Dominik;Pfeiffer, Micha;Kolbinger, Fiona;Distler, Marius;Weitz, Jürgen;Speidel, Stefanie",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Take a Shot! Natural Language Control of Robotic X-ray Systems for Image-guided Surgery,"Killeen, Benjamin;Chaudhary, Shreayan S;Osgood, Greg;Unberath, Mathias",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
OneSLAM to Map Them All: A Universal Approach to SLAM for Endoscopic Imaging,"Teufel, Timo M;Shu, Hongchao;Soberanis-Mukul, Roger D.;Mangulabnan, Jan Emily;Sahu, Manish;Vedula, Swaroop;Ishii, Masaru;Hager, Gregory D;Taylor, Russ;Unberath, Mathias",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
An Endoscopic Chisel: Intraoperative Imaging Carves 3D Anatomical Models,"Mangulabnan, Jan Emily;Soberanis-Mukul, Roger D.;Teufel, Timo M;Sahu, Manish;Porras, Jose;Vedula, Swaroop;Ishii, Masaru;Hager, Gregory D;Taylor, Russ;Unberath, Mathias",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
EndoSRR: A Comprehensive Multi-Stage Approach for Endoscopic Specular Reflection Removal,"li, wei;Jia, Fucang;Liu, Wenjian",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Cognitive Effort Detection for Tele-robotic Surgery via Personalized Pupil Response Modeling,"Büter, Regine;Soberanis-Mukul, Roger D.;Ruiz Puentes, Paola;Shankar, Rohit;Ghazi, Ahmed;Wu, Jie Ying;Unberath, Mathias",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Neural Digital Twins: Reconstructing Complex Medical Environments for Spatial Planning in Virtual Reality,"Kleinbeck, Constantin;Zhang, Han;Killeen, Benjamin;Roth, Daniel;Unberath, Mathias",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
LensePro: Label Noise-Tolerant Prototype- Based Network for Improving Cancer Detection in Prostate Ultrasound with Limited Annotations,"To, Minh Nguyen Nhat;Fooladgar, Fahimeh;Wilson, Paul F R;Harmanani, Mohamed;Gilany, Mahdi;Jamzad, Amoon;Sojoudi, Samira;Chang, Silvia;Black, Peter;Mousavi, Parvin;Abolmaesumi, Purang",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
One model to use them all: Training a segmentation model with complementary datasets,"Jenke, Alexander C;Bodenstedt, Sebastian;Kolbinger, Fiona;Distler, Marius;Weitz, Jürgen;Speidel, Stefanie",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
An Interactive Task-Based Method for the Avoidance of Metal Artifacts in CBCT Scans,"Rohleder, Maximilian A;Bullert, Benno;Thies, Mareike;Riedl, Sophie;Gierse, Jula;Privalov, Maxim;Mandelka, Eric;Vetter, Sven;Maier, Andreas K;Kreher, Björn",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Structured Light for Touchless 3D Registration in Video-based Surgical Navigation,"Baptista, Tânia Sousa;Marques, Miguel;Raposo, Carolina;Ribeiro, Luís;Antunes, Michel;Barreto, Joao P.",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Multimodal Semi-Supervised Learning for Online Recognition of Multi-granularity Surgical Workflows,"Yamada, Yutaro;Colan, Jacinto;Davila, Ana;Hasegawa, Yasuhisa",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Advancing Surgical VQA with Scene Graph Knowledge,"YUAN, KUN;Kattel, Manasi;Bose, Rupak;Lavanchy, Joël L.;Navab, Nassir;Srivastav, Vinkle Kumar;Padoy, Nicolas",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Patient-specific reference model estimation for orthognathic surgical planning,"Fang, Xi;Deng, Han;Kuang, Tianshu;Xu, Xuanang;Lee, Jungwook;Gateno, Jaime;Yan, Pingkun",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
The distinct roles of reinforcement learning between pre-operative and intra-operative planning for prostate biopsy,"Gayo, Iani JMB;Saeed, Shaheer Ullah;Bonmati, Ester;Barratt, Dean C;Clarkson, Matthew J;Hu, Yipeng",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Optimizing Latent Graph Representations of Surgical Scenes for Zero-Shot Domain Transfer,"Satyanaik, Siddhant P;Murali, Aditya;Alapatt, Deepak;Wang, Xin;Mascagni, Pietro;Padoy, Nicolas",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Zero-shot Prompt-based Video Encoder for Surgical Gesture Recognition,"Rao, Mingxing;Qin, Yihong;Kolouri, Soheil;Wu, Jie Ying;Moyer, Daniel C",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
XRelevance-CAM: Towards Explainable Tissue Characterisation with Improved Localisation of Pathological Structures in Probe-based Confocal Laser Endomicroscopy,"You, Jianzhong;Ajiouni, Serine;Kakaletri, Irini;Charalampaki, Patra;Giannarou, Stamatia",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Realtime deformable SLAM with geometrically adapted template for dynamic monocular laparoscopic Scenes,"Tang, Xuanshuang;Tao, Haisu;Qian, Yinling;Yang, Jian;Feng, Ziliang;Wang, Qiong",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Hierarchical Segmentation of Surgical Scenes in Laparoscopy,"Mehta, Pritesh;Owen, David;Grammatikopoulou, Maria;Culshaw, Lucy;Kerr, Karen;Stoyanov, Danail;Luengo, Imanol",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
A Zero-Shot Reinforcement Learning Strategy for Autonomous Guidewire Navigation,"Scarponi, Valentina;Duprez, Michel;Nageotte, Florent;Cotin, Stephane",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
ImSpect: Image-driven Self-supervised Learning for Surgical Margin Evaluation with Mass Spectrometry,"Connolly, Laura;Fooladgar, Fahimeh;Jamzad, Amoon;Kaufmann, Martin;Syeda, Ayesha;Ren, Kevin Yi Mi;Abolmaesumi, Purang;Rudan, John;McKay, Doug;Fichtinger, Gabor;Mousavi, Parvin",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Robot-assisted biopsy sampling for online Raman spectroscopy cancer confirmation in the OR,"Grajales, David O;Le, William T;Tran, Trang;David, Sandryne;Dallaire, Frédérick;Ember, Katherine;Leblond, Frederic;Ménard, Cynthia;Kadoury, Samuel",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Beyond the Manual Touch: Situational-aware Force Control for Increased Safety in Robot-assisted Skullbase Surgery,"Ishida, Hisashi;Galaiya, Deepa;Nagururu, Nimesh;Creighton, Francis;Kazanzides, Peter;Taylor, Russ;Sahu, Manish",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Head Motion-Corrected Eye Gaze Tracking with the da Vinci Surgical System,"Banks Gadbois, Alexandre L;Salcudean, Septimiu;Abdelaal, Alaa Eldin",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
EndoViT: Pretraining Vision Transformers on a Large Collection of Endoscopic Images,"Batic, Dominic;Holm, Felix;Özsoy, Ege;Czempiel, Tobias;Navab, Nassir",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
An investigation into augmentation and preprocessing for optimising X-ray classification in limited datasets: A case study on Necrotising Enterocolitis,"Nowak, Franciszek M;Yung, Ka W;Sivaraj, Jayaram;De Coppi, Paolo;Stoyanov, Danail;Loukogeorgakis, Stavros;Mazomenos, Evangelos B",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Enhancing Robotic Telesurgery with Sensorless Haptic Feedback,"Yilmaz, Nural;Burkhart, Brendan;Deguet, Anton;Kazanzides, Peter;Tumerdem, Ugur",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Test-time augmentation with synthetic data addresses distribution shifts in spectral imaging,"Qasim, Ahmad Bin & Motta, Alessandro;Studier-Fischer, Alexander;Sellner, Jan;Ayala, Leonardo;Huebner, Marco;Bressan, Marc;Özdemir, Berkin;Kowalewski, Karl-Friedrich;Nickel, Felix;Seidlitz, Silvia;Maier-Hein, Lena",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Evaluating the Impact of Reinforcement Learning on Automatic Deep Brain Stimulation Planning,"Pantovic, Anja;Essert, Caroline",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Real-time Localization of Critical Anatomical Structures in Endoscopic Pituitary Surgery,"Mao, Zhehua;Das, Adrito;Islam, Mobarakol;Khan, Dan;Williams, Simon;Hanrahan, John;Borg, Anouk;Dorward, Neil;Clarkson, Matthew J;Stoyanov, Danail;Marcus, Hani;Bano, Sophia",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
Enhancing Surgical Instrument Segmentation: Integrating Vision Transformer Insights with Adapter,"Wei, Meng;Vercauteren, Tom;Shi, Miaojing",Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2024/program
