Title,Authors,Session,Abstract,PDF,Paper Page
Deep-Motion-Net: GNN-based volumetric organ shape reconstruction from single-view 2D projections,Isuru Wijesinghe;Zeike Taylor;Michael Nix;Arezoo Zakeri;Alireza Hokmabadi;Bashar Al-Qaisieh;Ali Gooya,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
Tissue Tracking under Long-Horizon Occlusions with Contrastive Learning,Myrtο Inglezou;Nikolaos Kegkeroglou;Leonidas Delimpasis;Panagiotis Chatzakos;Antonios Porichis,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
Promptable segmentation with region exploration enables minimal-effort expert-level prostate cancer delineation,Junqing Yang;Natasha Thorley;Ahmed Nadeem Abbasi;Shonit Punwani;Zion Tse;Yipeng Hu;Shaheer Saeed,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
Shift Happens: A Fairness-Oriented Framework for Medical Classification under Hidden Bias,Minh Nguyen Nhat To;Diane Kim;Mohamed Harmanani;Paul Wilson;Fahimeh Fooladgar;Samira Sojoudi;Amoon Jamzad;Sherif Abdalla;Teresa Tsang;Christina Luong;Silvia Chang;Peter Black;Robert Siemens;Michael Leveridge;Rahul Krishnan;Parvin Mousavi;Purang Abolmaesumi,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
TwinOR: Photorealistic Digital Twins of Dynamic Operating Rooms for Embodied AI Research,Han Zhang;Yiqing Shen;Roger Soberanis-Mukul;Ankita Ghosh;Hao Ding;Lalithkumar Seenivasan;Jose Porras;Zhekai Mao;Chenjia Li;Wenjie Xiao;Lonny Yarmus;Christine Argento;Masaru Ishii;Mathias Unberath,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
Training-free detection and 6D pose estimation of surgical instruments,Jonas Hein;Matthias Seibold;Lilian Calvet;Siyu Tang;Marc Pollefeys;Philipp Fürnstahl,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
Self-supervised Monocular Depth Estimation for Colonoscopy using Normal-guided Cross-attention,Yahui Zhang;Stamatia Giannarou;Daniel S. Elson,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
Grounding Surgical Action Triplets with Instrument Instance Segmentation: A Dataset and Target-Aware Fusion Approach,Oluwatosin Alabi;Meng Wei;Charlie Budd;Tom Vercauteren;Miaojing Shi,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
Endo-PairGS: Pair priors for dynamic endoscopic scene reconstruction,Xiankang Yu;Yuichiro Hayashi;Masahiro Oda;Takayuki Kitasaka;Kensaku Mori,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
S4M: 4-points to Segment Anything,Adrien MEYER;Lorenzo Arboit;Giuseppe Massimiani;Shih-Min Yin;Didier Mutter;Nicolas Padoy,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
ProtoFlow: Interpretable and Robust Surgical Workflow Modeling with Learned Dynamic Scene Graph Prototypes,Felix Holm;Ghazal Ghazaei;Nassir Navab,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
Where are they looking in the operating room?,Keqi Chen;Séraphin Baributsa;Lilien Schewski;Vinkle Srivastav;Didier Mutter;Guido Beldi;Sandra Keller;Nicolas Padoy,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
SPARTAN: Surgical Peg-And-Ring Triplet and Workflow Anticipation Benchmark,Federico Cunico;Michele Sandrini;Nicola Piccinelli;Riccardo Muradore,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
A Novel Wearable Interface based on IMUs for Robotic Endoscopy,Qiwen Yao;Chengyu Zhang;Qiang Lin;Yuesheng Qu;Chi Zhang;Baojun Chen;Siyang Zuo,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
Sound Source Localization for Spatial Mapping of Surgical Actions in Dynamic Scenes,Jonas Hein;Lazaros Vlachopoulos;Maurits Geert Laurent Olthof;Bastian Sigrist;Philipp Fürnstahl;Matthias Seibold,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
DSTED: Decoupling Temporal Stabilization and Discriminative Enhancement for Surgical Workflow Recognition,Yueyao Chen;Kaini Wang;Dario Tayupo;Arnaud Huaulmé;Krystel Nyangoh Timoh;Pierre Jannin;Qi Dou,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
SurgViVQA: Temporally-Grounded Video Question Answering for Surgical Scene Understanding,Mauro Orazio Drago;Luca Carlini;Pelinsu Celebi Balyemez;Dennis Pierantozzi;Chiara Lena;Cesare Hassan;Danail Stoyanov;Elena De Momi;Sophia Bano;Mobarakol I. Hoque,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
GeoTranMesh: A Geometry-Guided Multi-Branch Mesh Transformer for Liver Segmentation,Jiaming Feng;Xukun Zhang;Shahid Farid;Sharib Ali,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
Dual Geometry-Inspired Structural Modeling for Neuroendocrine Tumor Segmentation in Endoscopic Ultrasound,Hao Suo;lingyu chen;yilin wang;tianqi huang;hongen liao;hui xu;fang chen,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
Towards Comprehensive Real-Time Scene Understanding in Ophthalmic Surgery through Multimodal Image Fusion,Nikolo Rohrmoser;Ghazal Ghazaei;Michael Sommerperger,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
Ultrasound-Guided Real-Time Spinal Motion Visualization for Spinal Instability Assessment,Feng Li;Tianyu Song;Yuan Bi;Nassir Navab;Zhongliang Jiang,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
Comparative Study of Ultrasound Shape Completion and CBCT-Based AR Workflows for Spinal Needle Interventions,Tianyu Song;Feng Li;Felix Pabst;Miruna-Alexandra Gafencu;Yuan Bi;Ulrich Eck;Nassir Navab,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
ARport: An Augmented Reality System for Image-guided Port Placement Guidance in Robotic Surgery,Zheng Han;Zixin Yang;Yonghao Long;Lin Zhang;Peter Kazanzides;Qi Dou,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
HyKey: Hyperspectral Keypoint Detection and Matching in Minimally Invasive Surgery,Alexander Saikia;Chiara Di Vece;Zhehua Mao;Sierra Bonilla;Chloe He;Joao Ramalhinho;Tobias Czempiel;Sophia Bano;Danail Stoyanov,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
A clinically and technologically practicable navigation system for robotic sacrocolpopexy,Gabriele Vanni;Anna Furiesi;Andrea Giannini;Carla Cappelli;Tommaso Simoncini;Vincenzo Ferrari,Accepted regular paper submissions,,,https://sites.google.com/view/ipcai2026/program
