Title,Authors,Session,Abstract,PDF,Paper Page
Reference-free Bayesian Model for Pointing Errors-of-type in Neurosurgical Planning,John SH Baxter;Antoine Delmas;Stéphane Croci;Luc Bredoux;Jean-Pascal Lefaucheur;Pierre Jannin,Long Presentation Session (S6),,,https://sites.google.com/view/ipcai-2023/program
Transcervical Ultrasound Image Guidance System for Transoral Robotic Surgery,Wanwen Chen;megha kalia;Qi Zeng;Emily HT Pang;Razeyeh Bagherinasab;Thomas Milner;Farahna Sabiq;Eitan Prisman;Septimiu Salcudean,Long Presentation Session (S6),,,https://sites.google.com/view/ipcai-2023/program
Fully Immersive Virtual Reality for Skull-base Surgery: Surgical Training and Beyond,Adnan Munawar;Zhaoshuo Li;Nimesh Nagururu;Danielle Trakimas;Peter Kazanzides;Russ Taylor;Francis Creighton,Long Presentation Session (S6),,,https://sites.google.com/view/ipcai-2023/program
Twin-S: A Digital Twin for Skull-base Surgery,Hongchao Shu;Ruixing Liang;Zhaoshuo Li;Anna Goodridge;Hao Ding;Xiangyu Zhang;Nimesh Nagururu;Manish Sahu;Francis Creighton;Russ Taylor;Adnan Munawar;Mathias Unberath,Long Presentation Session (S6),,,https://sites.google.com/view/ipcai-2023/program
TAToo: Stereo Video-based Tracking of Anatomy and Tool for Skull-base Surgery,Zhaoshuo Li;Hongchao Shu;Ruixing Liang;Anna Goodridge;Manish Sahu;Francis Creighton;Russ Taylor;Mathias Unberath,Long Presentation Session (S6),,,https://sites.google.com/view/ipcai-2023/program
An Autonomous X-ray Image Acquisition and Interpretation System for Assisting Percutaneous Fracture Fixation,Benjamin Killeen;Cong Gao;Sean S Darcy;Kanyifeechukwu Oguine;Greg Osgood;Russ Taylor;Mathias Unberath,Long Presentation Session (S7),,,https://sites.google.com/view/ipcai-2023/program
On the Importance of Patient Acceptance for Medical Robotic Imaging,Christine Eilers;Rob van Kemenade;Benjamin Busam;Nassir Navab,Long Presentation Session (S7),,,https://sites.google.com/view/ipcai-2023/program
Non-rigid Point Cloud Registration for Middle Ear Diagnostics with Endoscopic Optical Coherence Tomography,"Peng Liu (National Center for Tumor Diseases (NCT), Dresden);Jonas Golde;Joseph Morgenstern;Sebastian Bodenstedt (National Center for Tumor Diseases (NCT) Dresden);Chenpan Li (National Center for Tumor Diseases (NCT), Dresden);Yujia Hu (National Center for Tumor Diseases (NCT), Dresden);Zhaoyu Chen;Edmund Koch;Marcus Neudert;Stefanie Speidel (National Center for Tumor Diseases (NCT) Dresden)",Long Presentation Session (S7),,,https://sites.google.com/view/ipcai-2023/program
Visualization in 2D/3D Registration Matters For Assuring Technology-assisted Image-guided Surgery,Sue Min Cho;Robert Grupp;Catalina Gomez;Iris Gupta;Mehran Armand;Greg Osgood;Russ Taylor;Mathias Unberath,Long Presentation Session (S7),,,https://sites.google.com/view/ipcai-2023/program
TRUSformer: Improving Prostate Cancer Detection from Micro-Ultrasound Using Attention and Self-Supervision,Mahdi Gilany;Paul F R Wilson;Andrea Perera-Ortega;Amoon Jamzad;Minh Nguyen Nhat To;Fahimeh Fooladgar;Brian Wodlinger;Purang Abolmaesumi;Parvin Mousavi,Long Presentation Session (S8),,,https://sites.google.com/view/ipcai-2023/program
Contrastive Distillation For Liver Segmentation In The Wild,Stefano Fogarollo;Reto Bale (Mikroinvasive Therapie (SIP) Medizinische Universität Innsbruck);Matthias Harders,Long Presentation Session (S8),,,https://sites.google.com/view/ipcai-2023/program
Automated and Data-Driven Plate Computation for Presurgical Cleft Lip and Palate Treatment,Till Schnabel;Baran Gözcü;Paulo Gotardo;Lasse Lingens;Daniel Dorda;Frawa Vetterli;Ashraf Emhemmed;Prasad Nalabothu;Yoriko Lill;Benito Benitez;Andreas Mueller;Markus Gross;Barbara Solenthaler,Long Presentation Session (S8),,,https://sites.google.com/view/ipcai-2023/program
Rethinking Causality-driven Robot Tool Segmentation with Temporal Constraints,Hao Ding;Zhaoshuo Li;Jie Ying Wu;Mathias Unberath,Long Presentation Session (S8),,,https://sites.google.com/view/ipcai-2023/program
Sources of Performance Variability in Deep Learning-based Polyp Detection,Thuy Nuong N Tran;Tim Adler (German Cancer Research Center;Amine Yamlahi;Evangelia christodoulou;Patrick Godau;Annika Reinke;Minu Dietlinde Tizabi;Peter Sauer;Tillmann Persicke;Jörg G. Albert;Lena Maier-Hein,Long Presentation Session (S9),,,https://sites.google.com/view/ipcai-2023/program
Rendezvous in Time: An Attention-based Temporal Fusion Approach for Surgical Triplet Recognition,Saurav Sharma;CHINEDU I NWOYE;Didier Mutter;Nicolas Padoy,Long Presentation Session (S9),,,https://sites.google.com/view/ipcai-2023/program
Occlusion-robust Scene Flow-based Tissue Deformation Recovery Incorporating a Mesh Optimization Model,Jiahe Chen;Kazuaki Hara;Etsuko Kobayashi;Ichiro Sakuma;Naoki Tomii,Long Presentation Session (S9),,,https://sites.google.com/view/ipcai-2023/program
A Force-sensing Surgical Drill for Real-time Force Feedback in Robotic Mastoidectomy,Yuxin Chen;Anna Goodridge;Manish Sahu;Deepa Galaiya;Russ Taylor;Francis Creighton;Aditi Kishore;Seena Vafaee;Harsha Mohan,Robotics and Human-Computer Interaction,,,https://sites.google.com/view/ipcai-2023/program
Robotically-controlled Three-dimensional Micro-ultrasound for Prostate Biopsy Guidance,Reid Vassallo;Tajwar A Aleef;Qi Zeng;Brian Wodlinger;Peter Black;Septimiu Salcudean,Robotics and Human-Computer Interaction,,,https://sites.google.com/view/ipcai-2023/program
An Adaptable Research Platform for Ex Vivo Normothermic Machine Perfusion of the Liver,Morenike Magbagbeola;Zainab Rai;Katie Doyle;Lukas Lindenroth;George Dwyeer;Amir Gander;Agostino Stilli;Brian Davidson;Danail Stoyanov,Robotics and Human-Computer Interaction,,,https://sites.google.com/view/ipcai-2023/program
Trocar Localisation for Robot-assisted Vitreoretinal Surgery,Jeremy M Birch;Lyndon DaCruz;Kawal Rhode;Christos Bergeles,Robotics and Human-Computer Interaction,,,https://sites.google.com/view/ipcai-2023/program
Learning How To Robustly Estimate Camera Pose in Endoscopic Videos,Michel Hayoz;Christopher Hahne;Mathias Gallardo;Daniel Candinas;Thomas Kurmann;Maximilian Allan;Raphael Sznitman,Machine Learning for CAI,,,https://sites.google.com/view/ipcai-2023/program
Temporally Consistent Sequence-to-Sequence Translation of Cataract Surgeries,Yannik Frisch;Moritz Fuchs;Anirban Mukhopadhyay,Machine Learning for CAI,,,https://sites.google.com/view/ipcai-2023/program
Unsupervised Out-of-Distribution Detection for Safer Robotically-guided Retinal Microsurgery,Alain Jungo;Lars Doorenbos;Tommaso Da Col;Maarten Beelen;Martin Zinkernagel;Pablo Márquez Neila;Raphael Sznitman,Machine Learning for CAI,,,https://sites.google.com/view/ipcai-2023/program
Deep Anatomy Learning for Lung Airway and Artery-vein Modeling with Contrast-enhanced CT Synthesis,Hanxiao Zhang;Minghui Zhang;Yun Gu;Guang-Zhong Yang,Machine Learning for CAI,,,https://sites.google.com/view/ipcai-2023/program
PseudoSegRT: Efficient Pseudo-Labelling for Intraoperative OCT Segmentation,Yu Huang;Riaz Asaria;Danail Stoyanov;Marinko Sarunic;Sophia Bano,Machine Learning for CAI,,,https://sites.google.com/view/ipcai-2023/program
